"cnty_fips","display_name","Value","theme_range","dm_prev_adj","ob_prev_adj","ltpia_prev_adj"
01001,"""Autauga, (AL)""",734.7,"639.7 - 989.4 (643)",11.4,36.3,30.3
01003,"""Baldwin, (AL)""",586.7,"571.5 - 639.6 (642)",9.3,29.4,23.5
01005,"""Barbour, (AL)""",691.3,"639.7 - 989.4 (643)",16.5,44.5,29.9
01007,"""Bibb, (AL)""",704.3,"639.7 - 989.4 (643)",13.5,38.5,36.7
01009,"""Blount, (AL)""",668.5,"639.7 - 989.4 (643)",12.5,36.1,28
01011,"""Bullock, (AL)""",788,"639.7 - 989.4 (643)",18,40.1,29.3
01013,"""Butler, (AL)""",757.4,"639.7 - 989.4 (643)",15.1,36.2,32.8
01015,"""Calhoun, (AL)""",775,"639.7 - 989.4 (643)",14.6,36.3,31.7
01017,"""Chambers, (AL)""",749.6,"639.7 - 989.4 (643)",13.8,38.3,31.4
01019,"""Cherokee, (AL)""",596.8,"571.5 - 639.6 (642)",10.3,36,34.2
01021,"""Chilton, (AL)""",693.9,"639.7 - 989.4 (643)",12.7,36.2,29.1
01023,"""Choctaw, (AL)""",704,"639.7 - 989.4 (643)",13.4,39.8,31.7
01025,"""Clarke, (AL)""",655.6,"639.7 - 989.4 (643)",14.3,38.6,28.4
01027,"""Clay, (AL)""",711,"639.7 - 989.4 (643)",11.9,38.7,30.1
01029,"""Cleburne, (AL)""",678.8,"639.7 - 989.4 (643)",10.7,35.1,30.9
01031,"""Coffee, (AL)""",643,"639.7 - 989.4 (643)",13.9,34.3,28.9
01033,"""Colbert, (AL)""",678.1,"639.7 - 989.4 (643)",14.8,34.9,29.8
01035,"""Conecuh, (AL)""",691.5,"639.7 - 989.4 (643)",14.9,38.7,29.7
01037,"""Coosa, (AL)""",680.2,"639.7 - 989.4 (643)",12.8,40.4,28.2
01039,"""Covington, (AL)""",676.4,"639.7 - 989.4 (643)",11.7,34.2,29.5
01041,"""Crenshaw, (AL)""",625.2,"571.5 - 639.6 (642)",12.8,40.1,28.7
01043,"""Cullman, (AL)""",751.1,"639.7 - 989.4 (643)",14.2,34.9,28.3
01045,"""Dale, (AL)""",599.2,"571.5 - 639.6 (642)",13.1,36.7,28.2
01047,"""Dallas, (AL)""",884.8,"639.7 - 989.4 (643)",15.4,42.6,28.9
01049,"""DeKalb, (AL)""",811.9,"639.7 - 989.4 (643)",10.8,30.6,30.8
01051,"""Elmore, (AL)""",616.9,"571.5 - 639.6 (642)",12.3,36.5,29
01053,"""Escambia, (AL)""",613.8,"571.5 - 639.6 (642)",16.8,38.8,31.1
01055,"""Etowah, (AL)""",773.9,"639.7 - 989.4 (643)",13.5,37.2,33.1
01057,"""Fayette, (AL)""",658.4,"639.7 - 989.4 (643)",11.9,35.9,35
01059,"""Franklin, (AL)""",748.7,"639.7 - 989.4 (643)",12.3,33.3,36.9
01061,"""Geneva, (AL)""",632.8,"571.5 - 639.6 (642)",13.3,37.2,28
01063,"""Greene, (AL)""",752.9,"639.7 - 989.4 (643)",17.7,42.4,30.3
01065,"""Hale, (AL)""",712.3,"639.7 - 989.4 (643)",14.5,41.3,32.2
01067,"""Henry, (AL)""",727.1,"639.7 - 989.4 (643)",15.6,38.3,29.4
01069,"""Houston, (AL)""",616.8,"571.5 - 639.6 (642)",12.1,33.3,28.5
01071,"""Jackson, (AL)""",731,"639.7 - 989.4 (643)",12,37.5,30.2
01073,"""Jefferson, (AL)""",613.9,"571.5 - 639.6 (642)",11.9,33,27.9
01075,"""Lamar, (AL)""",688.9,"639.7 - 989.4 (643)",11.9,34.3,32.3
01077,"""Lauderdale, (AL)""",480.9,"457.2 - 512.7 (644)",12.3,35.1,29.5
01079,"""Lawrence, (AL)""",766.6,"639.7 - 989.4 (643)",12,33.5,35.5
01081,"""Lee, (AL)""",610.7,"571.5 - 639.6 (642)",10.8,29.9,25
01083,"""Limestone, (AL)""",671,"639.7 - 989.4 (643)",11.3,33.4,29.6
