cnty_fips,display_name,Value,theme_range,dm_prev_adj,ob_prev_adj,ltpia_prev_adj
01001,"""Autauga, (AL)""",631.3,604.6 - 949.9 (643),11.4,36.3,30.3
01003,"""Baldwin, (AL)""",531.8,529.4 - 604.5 (642),9.3,29.4,23.5
01005,"""Barbour, (AL)""",638,604.6 - 949.9 (643),16.5,44.5,29.9
01007,"""Bibb, (AL)""",645.9,604.6 - 949.9 (643),13.5,38.5,36.7
01009,"""Blount, (AL)""",619.9,604.6 - 949.9 (643),12.5,36.1,28
01011,"""Bullock, (AL)""",666.7,604.6 - 949.9 (643),18,40.1,29.3
01013,"""Butler, (AL)""",646,604.6 - 949.9 (643),15.1,36.2,32.8
01015,"""Calhoun, (AL)""",693.1,604.6 - 949.9 (643),14.6,36.3,31.7
01017,"""Chambers, (AL)""",660.6,604.6 - 949.9 (643),13.8,38.3,31.4
01019,"""Cherokee, (AL)""",597.8,529.4 - 604.5 (642),10.3,36,34.2
01021,"""Chilton, (AL)""",616.2,604.6 - 949.9 (643),12.7,36.2,29.1
01023,"""Choctaw, (AL)""",677,604.6 - 949.9 (643),13.4,39.8,31.7
01025,"""Clarke, (AL)""",585.8,529.4 - 604.5 (642),14.3,38.6,28.4
01027,"""Clay, (AL)""",685.6,604.6 - 949.9 (643),11.9,38.7,30.1
01029,"""Cleburne, (AL)""",673.7,604.6 - 949.9 (643),10.7,35.1,30.9
01031,"""Coffee, (AL)""",628.6,604.6 - 949.9 (643),13.9,34.3,28.9
01033,"""Colbert, (AL)""",600.9,529.4 - 604.5 (642),14.8,34.9,29.8
01035,"""Conecuh, (AL)""",620.7,604.6 - 949.9 (643),14.9,38.7,29.7
01037,"""Coosa, (AL)""",613.9,604.6 - 949.9 (643),12.8,40.4,28.2
01039,"""Covington, (AL)""",610.9,604.6 - 949.9 (643),11.7,34.2,29.5
01041,"""Crenshaw, (AL)""",581,529.4 - 604.5 (642),12.8,40.1,28.7
01043,"""Cullman, (AL)""",734.3,604.6 - 949.9 (643),14.2,34.9,28.3
01045,"""Dale, (AL)""",623.8,604.6 - 949.9 (643),13.1,36.7,28.2
01047,"""Dallas, (AL)""",851.5,604.6 - 949.9 (643),15.4,42.6,28.9
01049,"""DeKalb, (AL)""",706.5,604.6 - 949.9 (643),10.8,30.6,30.8
01051,"""Elmore, (AL)""",604.4,529.4 - 604.5 (642),12.3,36.5,29
01053,"""Escambia, (AL)""",559.9,529.4 - 604.5 (642),16.8,38.8,31.1
01055,"""Etowah, (AL)""",749.2,604.6 - 949.9 (643),13.5,37.2,33.1
01057,"""Fayette, (AL)""",668.6,604.6 - 949.9 (643),11.9,35.9,35
01059,"""Franklin, (AL)""",834.1,604.6 - 949.9 (643),12.3,33.3,36.9
01061,"""Geneva, (AL)""",614,604.6 - 949.9 (643),13.3,37.2,28
01063,"""Greene, (AL)""",736.5,604.6 - 949.9 (643),17.7,42.4,30.3
01065,"""Hale, (AL)""",695.2,604.6 - 949.9 (643),14.5,41.3,32.2
01067,"""Henry, (AL)""",616.6,604.6 - 949.9 (643),15.6,38.3,29.4
01069,"""Houston, (AL)""",614.6,604.6 - 949.9 (643),12.1,33.3,28.5
01071,"""Jackson, (AL)""",686.5,604.6 - 949.9 (643),12,37.5,30.2
01073,"""Jefferson, (AL)""",574.1,529.4 - 604.5 (642),11.9,33,27.9
01075,"""Lamar, (AL)""",687.9,604.6 - 949.9 (643),11.9,34.3,32.3
01077,"""Lauderdale, (AL)""",496.6,477.2 - 529.3 (644),12.3,35.1,29.5
01079,"""Lawrence, (AL)""",723,604.6 - 949.9 (643),12,33.5,35.5
01081,"""Lee, (AL)""",544.7,529.4 - 604.5 (642),10.8,29.9,25
01083,"""Limestone, (AL)""",604.9,604.6 - 949.9 (643),11.3,33.4,29.6
01085,"""Lowndes, (AL)""",692.6,604.6 - 949.9 (643),17.6,46.5,29.6
01087,"""Macon, (AL)""",718.6,604.6 - 949.9 (643),17.7,48,31.7
01089,"""Madison, (AL)""",478.1,477.2 - 529.3 (644),11.3,32.6,22.3
01091,"""Marengo, (AL)""",716.9,604.6 - 949.9 (643),16,39.7,32.4
01093,"""Marion, (AL)""",773.5,604.6 - 949.9 (643),14.7,35.5,31.8
01095,"""Marshall, (AL)""",740.2,604.6 - 949.9 (643),11.4,33.9,29.6
01097,"""Mobile, (AL)""",629.3,604.6 - 949.9 (643),13.4,35.9,29.2
01099,"""Monroe, (AL)""",625.4,604.6 - 949.9 (643),13.7,39.5,31
01101,"""Montgomery, (AL)""",544.2,529.4 - 604.5 (642),12.5,36.6,26
01103,"""Morgan, (AL)""",664.4,604.6 - 949.9 (643),11.4,31.5,28.1
01105,"""Perry, (AL)""",745.2,604.6 - 949.9 (643),18.2,44.7,33.8
01107,"""Pickens, (AL)""",645.2,604.6 - 949.9 (643),13.8,35.4,28.3
01109,"""Pike, (AL)""",663.5,604.6 - 949.9 (643),13.2,42,27.3
01111,"""Randolph, (AL)""",648.4,604.6 - 949.9 (643),12.8,34.2,28.5
01113,"""Russell, (AL)""",684.4,604.6 - 949.9 (643),12.2,40.6,30.5
01115,"""St. Clair, (AL)""",624.4,604.6 - 949.9 (643),12.4,36.4,29.1
01117,"""Shelby, (AL)""",445.9,425.4 - 477.1 (642),8.8,29,23.8
01119,"""Sumter, (AL)""",644,604.6 - 949.9 (643),18.4,40.3,30.3
01121,"""Talladega, (AL)""",694.3,604.6 - 949.9 (643),14.6,40.8,32.5
01123,"""Tallapoosa, (AL)""",665.8,604.6 - 949.9 (643),12.4,37,31.9
01125,"""Tuscaloosa, (AL)""",623.3,604.6 - 949.9 (643),12.8,33.4,27.6
01127,"""Walker, (AL)""",717.7,604.6 - 949.9 (643),13.6,36.6,31.7
01129,"""Washington, (AL)""",675.8,604.6 - 949.9 (643),15.3,40.6,30.9
01131,"""Wilcox, (AL)""",762.7,604.6 - 949.9 (643),17,42.9,33
01133,"""Winston, (AL)""",680.9,604.6 - 949.9 (643),10.8,35.1,28.9
02013,"""Aleutians East, (AK)""",218.7,139.6 - 425.3 (645),9.4,35,27.2
02016,"""Aleutians West, (AK)""",498.8,477.2 - 529.3 (644),8.6,40.4,25.7
02020,"""Anchorage, (AK)""",380.4,139.6 - 425.3 (645),7.7,27.9,17.9
02050,"""Bethel, (AK)""",438.4,425.4 - 477.1 (642),7.3,29.5,28.1
02060,"""Bristol Bay, (AK)""",-1,,8.4,38.7,24.2
02068,"""Denali, (AK)""",612.7,604.6 - 949.9 (643),6.2,26,16.5
02070,"""Dillingham, (AK)""",472.2,425.4 - 477.1 (642),9.2,40.5,23
02090,"""Fairbanks North Star, (AK)""",392.3,139.6 - 425.3 (645),6.6,29,19.3
02100,"""Haines, (AK)""",360.2,139.6 - 425.3 (645),6.9,24,18
02110,"""Juneau, (AK)""",360.2,139.6 - 425.3 (645),6,28.6,15
02122,"""Kenai Peninsula, (AK)""",426.2,425.4 - 477.1 (642),6.4,28.3,19.9
02130,"""Ketchikan Gateway, (AK)""",437.4,425.4 - 477.1 (642),8.6,34.3,20.9
02150,"""Kodiak Island, (AK)""",441.4,425.4 - 477.1 (642),7.3,29.6,20.7
02164,"""Lake and Peninsula, (AK)""",450.9,425.4 - 477.1 (642),7.5,31.8,24.2
02170,"""Matanuska-Susitna, (AK)""",420.2,139.6 - 425.3 (645),7.8,30.8,20.5
02180,"""Nome, (AK)""",643.9,604.6 - 949.9 (643),7.6,33.5,26.6
02185,"""North Slope, (AK)""",639.4,604.6 - 949.9 (643),8,36.9,29.3
02188,"""Northwest Arctic, (AK)""",484.6,477.2 - 529.3 (644),8.3,35.9,26.3
02201,"""Prince of Wales-Outer Ketchikan, (AK)""",-1,,-1,-1,-1
02220,"""Sitka, (AK)""",353.6,139.6 - 425.3 (645),6.5,28.1,17.4
02232,"""Skagway-Hoonah-Angoon, (AK)""",-1,,-1,-1,-1
02240,"""Southeast Fairbanks, (AK)""",460,425.4 - 477.1 (642),7.7,32.4,19.8
02261,"""Valdez-Cordova, (AK)""",428.9,425.4 - 477.1 (642),7.6,30.4,20
02270,"""Wade Hampton, (AK)""",490.7,477.2 - 529.3 (644),-1,-1,-1
02280,"""Wrangell-Petersburg, (AK)""",-1,,-1,-1,-1
02282,"""Yakutat, (AK)""",-1,,7.6,30.9,24.8
02290,"""Yukon-Koyukuk, (AK)""",440.7,425.4 - 477.1 (642),8.1,30.1,26.2
04001,"""Apache, (AZ)""",388.6,139.6 - 425.3 (645),12.9,33.6,23.2
04003,"""Cochise, (AZ)""",462.7,425.4 - 477.1 (642),8.5,26.8,20.3
04005,"""Coconino, (AZ)""",400.4,139.6 - 425.3 (645),7.7,22.7,16.3
04007,"""Gila, (AZ)""",425.9,425.4 - 477.1 (642),8.2,28.3,23.6
04009,"""Graham, (AZ)""",438.7,425.4 - 477.1 (642),10.6,32,26.2
04011,"""Greenlee, (AZ)""",424.2,139.6 - 425.3 (645),10.1,29.2,21.1
04012,"""La Paz, (AZ)""",417.2,139.6 - 425.3 (645),10.6,29.6,26.2
04013,"""Maricopa, (AZ)""",398.1,139.6 - 425.3 (645),8.5,26.3,18.7
04015,"""Mohave, (AZ)""",564.3,529.4 - 604.5 (642),9.5,31,28.3
04017,"""Navajo, (AZ)""",415.1,139.6 - 425.3 (645),11.4,31.5,25
04019,"""Pima, (AZ)""",410.2,139.6 - 425.3 (645),7.6,25,17.5
